name,price,role,balls_faced,weighted_avg_sr,weighted_avg_rbw,weighted_avg_hard_hitter,weighted_avg_dot_percent,weighted_avg_bound_percent,runs,30s,50s,ducks,6s,4s,3s,2s,1s
A Capsey,0.75,2,147,67.2300722,0.298800321,0.448200481,66.3849639,11.20501203,182,2,1,2,6,30,0,3,66
A Gardner,3.2,2,86,123.2699019,0.504714559,0.821799346,40.69203923,18.21799346,93,2,0,1,3,14,0,1,44
A Sutherland,2,2,14,66.66666667,0.25,0.444444444,77.77777778,11.11111111,21,0,0,0,1,3,0,1,7
AB Kaur,0.1,2,36,165.4822031,0.483249156,1.171572875,43.09644063,29.28932188,46,1,0,0,0,8,1,4,14
AC Kerr,0.1,1,151,75.85603851,0.519520128,0.268920289,46.55398556,4.482004813,201,3,0,0,3,23,1,9,84
AJ Healy,0.7,3,116,116.8993157,0.161352173,1.034533012,59.19665864,25.86332531,142,2,1,0,3,28,0,3,38
BL Mooney,2,3,145,66.22972088,0.317832807,0.411698265,65.99014333,9.844958509,211,0,3,1,5,38,1,10,80
BS Fulmali,0.1,1,17,116.6666667,0.482758621,0.777777778,38.88888889,19.44444444,22,1,0,0,1,8,0,3,20
DB Sharma,2.6,2,108,136.0219052,0.645751481,0.831924819,29.6264996,18.49191326,148,1,3,0,8,34,0,6,97
EA Perry,1.7,2,206,127.5379653,0.524762132,0.860265705,45.54185018,20.07603457,258,4,2,0,7,41,1,12,114
G Wareham,0.4,2,62,200,1,1.333333333,16.66666667,33.33333333,99,1,0,1,3,11,0,6,33
GM Harris,0.75,2,119,60.17290642,0.486283486,0.14940016,58.50211363,3.735004011,173,2,1,0,7,23,0,3,47
H Deol,0.4,2,40,75,0.608695652,0.166666667,45.83333333,4.166666667,30,0,0,0,1,4,1,2,19
H Kaur,0.5,2,141,88.70634527,0.339545819,0.653625702,65.4512129,14.00626504,173,3,2,1,8,30,0,7,85
HK Matthews,0.4,2,115,100.794521,0.226981948,0.821311749,68.00124523,18.13366539,136,0,1,1,4,29,0,5,30
JI Rodrigues,2.2,1,89,147.0971551,0.715860891,0.906657273,26.97071257,21.05857487,139,2,2,2,8,26,0,8,67
KE Bryce,0.1,2,52,114.5800535,0.511533987,0.727272727,44.19629231,18.18181818,44,0,0,0,1,8,0,4,37
KP Navgire,0.3,1,68,44.82004813,0.11205012,0.358560385,82.07198075,8.964009627,105,0,1,1,7,11,1,1,19
L Wolvaardt,0.3,1,88,100.727177,0.271189645,0.783904895,58.84135354,18.82195899,117,1,1,1,1,29,0,6,33
M Kapp,1.5,2,53,200,1.2,1,0,16.66666667,67,1,0,0,4,6,0,3,24
MM Lanning,1.1,1,233,149.3155055,0.376019093,1.227648831,42.75815681,30.69122077,284,1,4,0,4,47,0,13,93
NR Sciver-Brunt,3.2,2,125,59.19665864,0.460585749,0.147146538,59.3656803,3.678663458,160,1,0,0,1,26,1,4,51
P Litchfield,1,1,77,74.30008915,0.429657637,0.340201248,54.86001783,7.290026746,83,1,0,0,3,11,0,5,36
P Vastrakar,1.9,2,27,66.58132815,0.337134301,0.351506003,68.56927216,7.921685847,32,0,0,0,1,2,0,4,28
PN Khemnar,0.1,2,50,66.3849639,0.42243735,0.275899759,55.07390627,6.131105763,62,2,0,0,2,13,0,2,31
RM Ghosh,1.9,3,124,150.5803999,0.55402647,1.080241041,36.05455111,22.68950208,170,2,2,0,10,31,0,6,61
S Ecclestone,1.8,2,13,114.2857143,0.333333333,0.857142857,57.14285714,14.28571429,11,0,0,1,1,1,0,2,5
S Mandhana,3.4,1,204,78.47826762,0.223366875,0.594927559,70.25362206,14.87318897,284,2,2,0,10,40,0,7,66
S Meghana,0.3,2,115,78.50236294,0.397191931,0.443236227,52.84421247,11.08090568,136,2,1,0,3,20,0,5,60
S Molineux,0.3,2,45,104.6539804,0.318378689,0.785467103,55.8073791,19.63667756,36,1,0,0,0,10,0,2,34
S Sajana,0.15,2,34,142.8571429,0.266666667,1.238095238,42.85714286,28.57142857,57,1,0,0,3,13,0,1,15
SFM Devine,0.5,2,90,182.5475736,0.357998491,1.534601961,88.91650743,35.45631129,106,1,0,0,7,13,0,0,42
Shafali Verma,2,1,142,163.1559151,0.44700735,1.313183511,37.816222,27.8562113,215,1,3,0,20,27,0,9,63
SR Patil,0.1,2,9,140,0.75,0.8,20,20,12,0,0,0,1,1,0,1,7
YH Bhatia,1.5,3,119,104.9851312,0.260109712,0.850700863,56.5899254,20.52501886,146,2,1,0,6,30,1,3,39
